Platform,Year_of_Release,Genre,Publisher,Global_Sales,Critic_Score,User_Score,Developer,Rating
GC,2001.0,Sports,Acclaim Entertainment,0.22,66.0,5.6,Acclaim,E
PS2,2001.0,Simulation,Sammy Corporation,0.22,59.0,7.5,Bit Town,E
DC,2000.0,Fighting,Virgin Interactive,0.22,80.0,9.0,Capcom,T
PS3,2009.0,Misc,Crave Entertainment,0.22,82.0,7.9,Farsight Studios,E10+
PSP,2007.0,Action,Vivendi Games,0.22,49.0,5.6,Rebellion,T
XOne,2016.0,Action,Bethesda Softworks,0.22,88.0,6.8,Arkane Studios,M
PSV,2011.0,Action,Ubisoft,0.22,49.0,4.8,Ubisoft,E10+
GC,2005.0,Action,Electronic Arts,0.22,70.0,8.5,Electronic Arts,T
PS2,2009.0,Misc,Activision,0.22,69.0,8.3,Beenox,T
Wii,2008.0,Sports,Electronic Arts,0.22,51.0,5.9,EA Sports,E
PS2,2001.0,Sports,Acclaim Entertainment,0.22,67.0,7.8,Acclaim,E
X360,2008.0,Sports,Electronic Arts,0.22,70.0,5.6,EA Canada,E
PSP,2009.0,Role-Playing,Atlus,0.22,78.0,8.0,ITL,T
XOne,2014.0,Role-Playing,Square Enix,0.22,71.0,6.7,"City Interactive, Deck 13",M
PC,2012.0,Action,Warner Bros. Interactive Entertainment,0.22,80.0,8.2,TT Games,E10+
PS2,2006.0,Role-Playing,Rising Star Games,0.22,60.0,7.9,Career Soft,T
X360,2009.0,Action,D3Publisher,0.22,61.0,8.3,Papaya Studios,E10+
PS2,2003.0,Sports,Electronic Arts,0.22,61.0,6.8,HB Studios Multimedia,E
3DS,2014.0,Action,Marvelous Entertainment,0.22,58.0,6.8,Tamsoft,M
PSP,2005.0,Sports,Sony Computer Entertainment,0.22,72.0,5.4,SCEA Sports Studio,E
DS,2008.0,Misc,AQ Interactive,0.22,82.0,8.2,AQ Interactive,E
GBA,2003.0,Action,Tomy Corporation,0.22,60.0,7.1,Aspect,E10+
X360,2009.0,Strategy,Kalypso Media,0.22,75.0,6.6,Haemimont,T
PS2,2002.0,Racing,Activision,0.22,60.0,7.5,Stealth Studios,T
Wii,2009.0,Action,THQ,0.22,72.0,8.8,Rainbow Studios,T
X360,2014.0,Fighting,Namco Bandai Games,0.22,62.0,7.3,CyberConnect2,T
PC,2011.0,Action,Deep Silver,0.22,80.0,6.8,Techland,M
GC,2002.0,Sports,Sega,0.22,92.0,8.3,Visual Concepts,E
DS,2009.0,Puzzle,Electronic Arts,0.22,57.0,7.5,Electronic Arts,E
GBA,2003.0,Platform,Zoo Digital Publishing,0.22,63.0,7.5,Virtucraft,T
X360,2011.0,Action,Bethesda Softworks,0.22,61.0,6.0,InXile Entertainment,M
GBA,2002.0,Misc,THQ,0.22,53.0,7.4,Art,E
GC,2005.0,Action,Activision,0.22,70.0,7.8,Shaba Games,E10+
X360,2006.0,Shooter,Sega,0.22,70.0,7.8,Pseudo Interactive,T
PS2,2002.0,Adventure,Eidos Interactive,0.22,69.0,5.0,Core Design Ltd.,E
PS3,2008.0,Adventure,Unknown,0.22,63.0,6.2,Rhino Studios,E10+
Wii,2009.0,Action,Electronic Arts,0.22,51.0,7.5,Double Helix Games,T
DS,2007.0,Puzzle,Avanquest,0.22,68.0,7.5,iWin,E
X360,2006.0,Simulation,Ubisoft,0.21,49.0,6.0,Taito Corporation,T
PS2,2001.0,Sports,THQ,0.21,67.0,7.5,Radical Entertainment,T
PS4,2013.0,Strategy,Activision,0.21,47.0,2.0,Exient Entertainment,E
PSP,2010.0,Sports,Sony Computer Entertainment,0.21,80.0,8.0,Clap Hanz,E
Wii,2009.0,Simulation,Electronic Arts,0.21,56.0,7.5,EA Games,E
DS,2010.0,Action,LucasArts,0.21,43.0,4.0,LucasArts,T
PS2,2004.0,Racing,Ubisoft,0.21,52.0,6.8,Ratbag,E
GC,2005.0,Misc,Namco Bandai Games,0.21,60.0,7.5,Backbone Vancouver,E10+
PS2,2004.0,Racing,Eidos Interactive,0.21,63.0,8.0,Climax Group,T
PSP,2005.0,Sports,Sony Computer Entertainment,0.21,57.0,6.9,989 Sports,E
PS2,2002.0,Action,Agetec,0.21,66.0,8.0,Irem,T
X360,2012.0,Simulation,Namco Bandai Games,0.21,68.0,7.2,From Software,T
X360,2006.0,Sports,Take-Two Interactive,0.21,82.0,8.2,2K Sports,E
X360,2007.0,Sports,Electronic Arts,0.21,69.0,7.5,EA Canada,E
Wii,2006.0,Action,Midway Games,0.21,46.0,5.6,"Pipeworks Software, Inc.",E10+
PS2,2000.0,Racing,Interplay,0.21,64.0,7.5,Rage Software,E
PS2,2004.0,Role-Playing,Ubisoft,0.21,76.0,8.6,InXile Entertainment,T
GBA,2002.0,Shooter,TDK Mediactive,0.21,61.0,6.5,Lucky Chicken,E
PS2,2002.0,Strategy,Ubisoft,0.21,47.0,7.4,MASA Group,T
3DS,2015.0,Strategy,Nintendo,0.21,69.0,7.7,Intelligent Systems,T
X360,2013.0,Shooter,Take-Two Interactive,0.21,68.0,6.7,2K Marin,M
PC,2004.0,Shooter,LucasArts,0.21,72.0,3.5,EA DICE,T
XB,2002.0,Shooter,Universal Interactive,0.21,76.0,7.5,Terminal Reality,M
DS,2011.0,Action,Electronic Arts,0.21,55.0,7.5,Full Fat,E10+
XB,2005.0,Sports,Take-Two Interactive,0.21,83.0,7.5,2K Sports,E10+
X360,2009.0,Adventure,Disney Interactive Studios,0.21,25.0,3.8,n-Space,E
XB,2004.0,Action,Activision,0.21,70.0,7.0,K2 LLC,M
PS2,2005.0,Misc,Take-Two Interactive,0.21,60.0,8.6,Coresoft,T
PS2,2004.0,Shooter,Konami Digital Entertainment,0.21,65.0,7.1,KCET,M
PSP,2005.0,Sports,Electronic Arts,0.21,67.0,7.7,EA Canada,E
DS,2005.0,Sports,Activision,0.21,84.0,8.7,Vicarious Visions,E
PS2,2004.0,Action,Capcom,0.21,85.0,7.7,Clover Studio,T
X360,2009.0,Sports,Take-Two Interactive,0.21,76.0,6.2,Blue Castle Games,E10+
PS2,2001.0,Shooter,Electronic Arts,0.21,84.0,7.2,Bullfrog Productions,M
PS2,2005.0,Platform,Namco Bandai Games,0.21,63.0,5.2,Blitz Games,E
X360,2009.0,Shooter,THQ,0.21,71.0,6.4,Swordfish Studios,M
PS3,2012.0,Adventure,Sony Computer Entertainment Europe,0.21,92.0,8.8,ThatGameCompany,E
PS3,2010.0,Racing,Black Bean Games,0.21,73.0,7.5,Milestone S.r.l,E10+
3DS,2016.0,Role-Playing,Namco Bandai Games,0.21,68.0,7.6,Ganbarion,T
DS,2006.0,Sports,Electronic Arts,0.21,70.0,6.5,Exient Entertainment,E
PS,2000.0,Fighting,Acclaim Entertainment,0.21,26.0,4.0,Osiris Studios,E
X360,2009.0,Sports,XS Games,0.21,63.0,5.8,Piranha Games,E
XB,2005.0,Shooter,Ubisoft,0.21,75.0,8.1,High Moon Studios,M
PS3,2013.0,Role-Playing,Nippon Ichi Software,0.21,74.0,8.1,Nippon Ichi Software,T
PS2,2003.0,Platform,Capcom,0.21,83.0,7.8,Capcom,T
PC,2015.0,Action,Ubisoft,0.21,74.0,5.9,Ubisoft Quebec,M
DS,2008.0,Action,Disney Interactive Studios,0.21,54.0,7.5,Fall Line Studio,E10+
PS2,2002.0,Role-Playing,THQ,0.21,76.0,8.3,Volition Inc.,T
PS2,2001.0,Adventure,Konami Digital Entertainment,0.21,78.0,8.2,Konami,T
DS,2008.0,Action,Tecmo Koei,0.21,83.0,7.8,Team Ninja,T
XB,2003.0,Sports,Activision Value,0.21,65.0,8.4,FUN Labs,T
PSV,2016.0,Role-Playing,Square Enix,0.21,77.0,8.6,Square Enix,E10+
PSV,2014.0,Action,Nippon Ichi Software,0.21,72.0,8.4,Spike Chunsoft,M
Wii,2011.0,Action,Konami Digital Entertainment,0.21,79.0,7.0,Konami,E
Wii,2007.0,Platform,Vivendi Games,0.21,60.0,6.4,Krome Studios,E10+
PS4,2014.0,Adventure,Telltale Games,0.21,83.0,8.4,Telltale Games,M
Wii,2009.0,Adventure,Deep Silver,0.21,67.0,7.6,"Deep Silver, Sproing Interactive Media, Sproing",M
DS,2008.0,Strategy,THQ,0.21,78.0,6.9,Griptonite Games,E10+
X360,2008.0,Racing,Black Bean Games,0.21,63.0,8.0,Milestone S.r.l,E10+
GC,2003.0,Action,Electronic Arts,0.21,47.0,4.2,Argonaut Games,E
3DS,2012.0,Role-Playing,Nintendo,0.21,69.0,7.4,n-Space,T
Wii,2009.0,Platform,Majesco Entertainment,0.21,80.0,8.7,WayForward,E
PS3,2008.0,Racing,THQ,0.21,61.0,5.0,2XL Games,E
PS3,2009.0,Action,Electronic Arts,0.21,43.0,4.8,Double Helix Games,T
PSP,2010.0,Fighting,THQ,0.21,74.0,7.0,Yuke's,T
PSP,2005.0,Misc,Activision,0.21,37.0,6.4,Activision,E10+
X360,2007.0,Misc,Ubisoft,0.21,67.0,7.3,Ubisoft Montpellier,E
PS2,2002.0,Action,Eidos Interactive,0.21,81.0,8.9,Ion Storm,M
XB,2004.0,Shooter,Atari,0.21,64.0,5.3,Tantalus Interactive,M
PS2,2001.0,Racing,Electronic Arts,0.21,85.0,8.2,Electronic Arts,E
PS2,2008.0,Action,Activision,0.21,69.0,4.1,"Treyarch, Shaba Games",E10+
X360,2007.0,Action,Microsoft Game Studios,0.21,38.0,2.9,Artoon,M
XB,2005.0,Action,Electronic Arts,0.21,65.0,7.1,Eurocom Entertainment Software,T
XOne,2014.0,Sports,Electronic Arts,0.21,53.0,6.8,EA Sports,E
GBA,2003.0,Platform,TDK Mediactive,0.21,57.0,7.5,TOSE,E
XB,2002.0,Action,Sega,0.21,88.0,8.2,Smilebit,T
GC,2001.0,Sports,Midway Games,0.21,79.0,8.7,Midway,E
X360,2009.0,Action,Gamebridge,0.21,55.0,6.8,Acquire,M
GC,2002.0,Sports,Electronic Arts,0.21,91.0,8.1,EA Sports,E
PS3,2013.0,Action,Square Enix,0.21,71.0,7.6,Io Interactive,M
PSP,2009.0,Fighting,THQ,0.21,51.0,7.5,THQ,E10+
PSV,2014.0,Fighting,Namco Bandai Games,0.21,74.0,7.9,Bandai Namco Games,T
PS3,2011.0,Platform,THQ,0.21,74.0,7.1,Blue Tongue Entertainment,E10+
PS2,2000.0,Sports,Konami Digital Entertainment,0.21,64.0,7.9,Konami,T
Wii,2007.0,Role-Playing,Square Enix,0.21,76.0,8.0,h.a.n.d. Inc.,E10+
PS2,2005.0,Action,Eidos Interactive,0.21,78.0,8.3,Crystal Dynamics,T
X360,2010.0,Action,Deep Silver,0.21,40.0,4.7,ZootFly,T
Wii,2011.0,Misc,THQ,0.21,81.0,7.7,"Jellyvision, Iron Galaxy Studios",T
PS,2000.0,Fighting,Midway Games,0.21,28.0,2.4,Midway,M
3DS,2016.0,Platform,Capcom,0.21,77.0,7.1,Digital Eclipse,E
Wii,2010.0,Action,THQ,0.21,53.0,6.6,THQ,T
DS,2008.0,Sports,Activision,0.21,39.0,7.5,Creat Studios,E
X360,2007.0,Sports,Electronic Arts,0.21,67.0,7.1,EA Canada,E
X360,2009.0,Sports,Zushi Games,0.21,68.0,8.6,Bongfish,T
PS2,2005.0,Action,THQ,0.21,68.0,8.5,Cranky Pants Games,M
PC,2013.0,Shooter,Trion Worlds,0.21,64.0,6.5,Trion Worlds,M
XB,2002.0,Sports,Electronic Arts,0.21,80.0,7.9,EA Sports,E
PSP,2005.0,Sports,Electronic Arts,0.21,78.0,7.4,EA Canada,E
PS2,2002.0,Sports,Sega,0.21,89.0,7.8,Treyarch,E
X360,2011.0,Misc,THQ,0.21,82.0,7.9,"Jellyvision, Iron Galaxy Studios",T
GBA,2001.0,Fighting,Ubisoft,0.21,82.0,7.8,Sun-Tec,E
PS4,2015.0,Sports,Activision,0.21,32.0,1.5,Robomodo,T
PSP,2010.0,Sports,Sony Computer Entertainment,0.21,79.0,6.6,SCEA,E
PS2,2002.0,Sports,Zoo Digital Publishing,0.21,68.0,8.5,Tecmo,E
3DS,2011.0,Action,Konami Digital Entertainment,0.21,54.0,5.5,Alpha Unit,E
DS,2008.0,Role-Playing,Ignition Entertainment,0.21,69.0,6.5,Brownie Brown,E
XB,2004.0,Sports,Global Star,0.21,74.0,7.5,Hypnotix,M
GC,2002.0,Action,Atari,0.21,33.0,7.5,Takara,E
X360,2010.0,Shooter,Namco Bandai Games,0.21,61.0,7.0,Volatile Games,M
GC,2005.0,Fighting,Atari,0.21,48.0,6.6,Avalanche Software,T
XB,2003.0,Platform,Activision,0.21,58.0,6.4,GenePool,T
GBA,2002.0,Action,THQ,0.21,55.0,6.9,Natsume,E
Wii,2008.0,Action,Ubisoft,0.21,70.0,7.8,Acquire,M
PS3,2013.0,Shooter,Capcom,0.21,61.0,5.5,Spark Unlimited,T
GBA,2002.0,Misc,Acclaim Entertainment,0.2,75.0,7.5,Powerhead Games,E
GBA,2004.0,Action,Atari,0.2,40.0,7.8,Full Fat,E
PS2,2004.0,Fighting,Capcom,0.2,57.0,4.8,Capcom,T
PS4,2016.0,Action,Ubisoft,0.2,72.0,7.4,Ubisoft Montreal,M
PSV,2014.0,Action,Sony Computer Entertainment,0.2,73.0,7.4,"Sanzaru Games, Sanzaru Games, Inc.",M
XB,2001.0,Racing,Infogrames,0.2,78.0,7.5,Monster Games Inc.,E
PS3,2012.0,Action,Sega,0.2,71.0,8.2,PlatinumGames,M
PS3,2006.0,Simulation,Namco Bandai Games,0.2,33.0,5.1,Bec,T
PS2,2005.0,Strategy,Konami Digital Entertainment,0.2,68.0,8.6,Konami,T
XB,2005.0,Sports,Electronic Arts,0.2,76.0,7.2,EA Canada,E
X360,2013.0,Shooter,City Interactive,0.2,52.0,5.7,City Interactive,M
PC,2003.0,Role-Playing,CCP,0.2,69.0,7.5,CCP,T
DC,2000.0,Role-Playing,Sega,0.2,89.0,9.1,Sonic Team,T
XB,2002.0,Racing,Sega,0.2,69.0,8.5,Hitmaker,T
XB,2006.0,Racing,Take-Two Interactive,0.2,87.0,5.3,Rockstar San Diego,E10+
PSP,2006.0,Strategy,Atari,0.2,72.0,2.8,Frontier Developments,E10+
PC,2011.0,Shooter,THQ,0.2,74.0,7.4,Relic,M
PS2,2006.0,Fighting,Ignition Entertainment,0.2,67.0,8.5,Terminal Reality,T
WiiU,2013.0,Simulation,Disney Interactive Studios,0.2,51.0,5.3,Behaviour Interactive,E
XB,2002.0,Sports,Midway Games,0.2,79.0,7.8,Gratuitous Games,E
PSP,2005.0,Fighting,Sony Computer Entertainment,0.2,63.0,7.3,"SCEA, Think and Feel",T
PS2,2004.0,Platform,Activision,0.2,70.0,8.9,Edge of Reality,E
DS,2006.0,Racing,Electronic Arts,0.2,70.0,7.5,Exient Entertainment,E
PS3,2007.0,Role-Playing,Ubisoft,0.2,64.0,5.9,From Software,T
PS2,2001.0,Racing,Infogrames,0.2,75.0,7.6,Atari,E
PS3,2013.0,Role-Playing,Nippon Ichi Software,0.2,53.0,7.5,Nippon Ichi Software,T
DS,2007.0,Role-Playing,Namco Bandai Games,0.2,57.0,6.2,Bec,E
GBA,2003.0,Simulation,Ubisoft,0.2,82.0,9.2,TOSE,E
GBA,2003.0,Platform,Activision,0.2,72.0,7.2,Vicarious Visions,E
XB,2002.0,Sports,Sega,0.2,90.0,7.6,Visual Concepts,E
3DS,2012.0,Action,Agatsuma Entertainment,0.2,67.0,7.6,Studio Saizensen,T
PS3,2011.0,Sports,Take-Two Interactive,0.2,72.0,6.3,Visual Concepts,E
XB,2006.0,Racing,THQ,0.2,70.0,7.5,Rainbow Studios,E
GC,2002.0,Racing,Midway Games,0.2,71.0,7.5,Point of View,T
X360,2008.0,Role-Playing,Ubisoft,0.2,52.0,7.0,Ubisoft Annecy,M
Wii,2009.0,Action,Sega,0.2,53.0,5.8,Pyro Studios,E
PS2,2005.0,Shooter,Electronic Arts,0.2,51.0,5.3,WideScreen Games,M
GBA,2001.0,Sports,Ubisoft,0.2,79.0,7.5,Atlus Co.,E
PC,2015.0,Sports,Electronic Arts,0.2,81.0,4.4,EA Sports,E
XOne,2013.0,Sports,Electronic Arts,0.2,36.0,3.1,EA Sports,E
PS3,2010.0,Action,Sony Computer Entertainment,0.2,36.0,3.7,SCE Japan Studio,E10+
X360,2010.0,Simulation,Kalypso Media,0.2,63.0,7.2,Gaming Minds Studios,T
XOne,2016.0,Action,Namco Bandai Games,0.2,73.0,7.3,Dimps Corporation,T
PS4,2016.0,Role-Playing,Nippon Ichi Software,0.2,87.0,8.2,Vanillaware,T
GC,2004.0,Platform,Electronic Arts,0.2,70.0,8.6,Krome Studios,E
X360,2010.0,Misc,Namco Bandai Games,0.2,57.0,4.8,Namco Bandai Games,E
Wii,2009.0,Action,Namco Bandai Games,0.2,65.0,7.3,Media Vision,E10+
PSP,2008.0,Action,Tecmo Koei,0.2,62.0,6.6,"Omega Force, Koei Canada",T
XB,2003.0,Sports,Electronic Arts,0.2,82.0,9.0,EA Sports,E
X360,2007.0,Racing,Activision,0.2,43.0,6.4,Torus Games,E
DS,2009.0,Role-Playing,Sega,0.2,75.0,9.0,PlatinumGames,T
PS2,2003.0,Sports,Sony Computer Entertainment,0.2,45.0,7.5,989 Sports,E
XB,2005.0,Action,Disney Interactive Studios,0.2,72.0,6.0,Traveller's Tales,T
PSP,2006.0,Sports,Sony Computer Entertainment,0.2,68.0,7.0,SCEA,E
PC,2011.0,Role-Playing,Unknown,0.2,76.0,6.5,Reality Pump,M
XB,2003.0,Racing,Bethesda Softworks,0.2,40.0,7.4,Bethesda Softworks,E
PS3,2013.0,Role-Playing,Nippon Ichi Software,0.2,86.0,7.7,Falcom,T
PS3,2007.0,Shooter,Codemasters,0.2,60.0,7.1,"Mercury Steam, Alchemic Productions",M
3DS,2012.0,Fighting,Nintendo,0.2,64.0,5.9,Arika,T
DS,2009.0,Role-Playing,Activision,0.2,65.0,6.7,n-Space,E10+
DS,2009.0,Simulation,Aspyr,0.2,68.0,7.5,Aspyr,E
PS2,2008.0,Racing,Xplosiv,0.2,37.0,7.5,Razorworks Studios,E
GBA,2005.0,Misc,Namco Bandai Games,0.2,60.0,7.5,Backbone Vancouver,E
X360,2010.0,Shooter,Square Enix,0.2,58.0,6.1,Double Helix Games,T
XB,2002.0,Sports,Activision,0.2,75.0,7.5,Rainbow Studios,T
XB,2005.0,Action,Electronic Arts,0.2,71.0,8.8,Electronic Arts,T
PS3,2010.0,Simulation,Activision,0.2,66.0,6.1,Gaijin Entertainment,T
PC,2015.0,Action,Warner Bros. Interactive Entertainment,0.2,75.0,7.9,Techland,M
DC,2000.0,Role-Playing,Ubisoft,0.2,90.0,8.8,Game Arts,T
X360,2005.0,Racing,Namco Bandai Games,0.2,74.0,7.1,Namco,E
XB,2004.0,Action,Activision,0.2,67.0,7.5,Edge of Reality,E
GC,2004.0,Sports,Electronic Arts,0.2,77.0,7.5,EA Tiburon,E
PS2,2005.0,Action,Konami Digital Entertainment,0.2,53.0,7.0,KCE Studios,E10+
X360,2012.0,Simulation,Konami Digital Entertainment,0.2,75.0,8.8,High Voltage Software,M
X360,2008.0,Role-Playing,Compile Heart,0.2,71.0,7.0,Compile Heart,T
PS2,2003.0,Strategy,Activision,0.2,78.0,8.0,LucasArts,T
PS3,2011.0,Shooter,D3Publisher,0.2,63.0,7.0,Vicious Cycle,T
XB,2001.0,Sports,Acclaim Entertainment,0.2,76.0,8.2,"Z-Axis, Ltd.",T
GC,2002.0,Platform,THQ,0.2,66.0,8.3,Big Sky Software,E
PS2,2004.0,Misc,Namco Bandai Games,0.2,77.0,8.1,Namco,E
XB,2003.0,Puzzle,THQ,0.2,62.0,7.5,Radical Entertainment,E
PSV,2012.0,Action,Ubisoft,0.2,49.0,6.4,Ubisoft,T
PS2,2004.0,Action,Atari,0.2,71.0,6.8,Stormfront Studios,T
X360,2007.0,Shooter,Activision,0.2,50.0,5.6,Cauldron Ltd.,M
PS3,2009.0,Action,Atari,0.2,65.0,6.1,"Namco Bandai Games America, Namco Bandai Games",M
PS2,2002.0,Racing,Infogrames,0.2,62.0,7.5,Tantalus Interactive,E
Wii,2009.0,Misc,THQ,0.2,49.0,7.5,Jet Black Games,E
PSV,2012.0,Action,Konami Digital Entertainment,0.2,58.0,5.1,WayForward,M
PS2,2005.0,Simulation,Ubisoft,0.2,59.0,7.5,Cyberlore Studios,M
X360,2008.0,Racing,THQ,0.2,65.0,7.1,2XL Games,E
PSP,2005.0,Sports,Electronic Arts,0.2,80.0,7.9,Team Fusion,E
GBA,2007.0,Action,THQ,0.2,65.0,7.5,Helixe,E
DS,2008.0,Role-Playing,Sega,0.2,59.0,8.0,"Sega, Tom Create",T
GC,2004.0,Misc,Mad Catz,0.2,42.0,6.8,Mad Catz,E
XB,2002.0,Adventure,Vivendi Games,0.2,78.0,6.6,Computer Artworks,M
PS3,2006.0,Role-Playing,Electronic Arts,0.2,58.0,7.2,Sony Online Entertainment,T
PS3,2011.0,Strategy,PopCap Games,0.2,85.0,7.9,PopCap,E10+
XB,2002.0,Role-Playing,Virgin Interactive,0.2,83.0,8.3,Snowblind Studios,T
GC,2004.0,Action,Ubisoft,0.2,83.0,8.6,Ubisoft,M
X360,2007.0,Action,Tecmo Koei,0.2,53.0,7.4,Omega Force,T
PS2,2005.0,Action,Vivendi Games,0.2,47.0,8.8,Eurocom Entertainment Software,M
PS3,2011.0,Fighting,PQube,0.2,73.0,7.5,Examu,T
DS,2009.0,Action,Activision,0.2,55.0,8.1,Griptonite Games,E10+
PS2,2005.0,Racing,Xplosiv,0.2,51.0,2.1,Eutechnyx,M
PS3,2006.0,Simulation,505 Games,0.2,65.0,6.8,From Software,T
DS,2010.0,Role-Playing,Nintendo,0.2,76.0,7.9,CyberConnect2,E10+
PS2,2001.0,Sports,Sony Computer Entertainment,0.2,57.0,4.0,989 Sports,E
PS2,2008.0,Role-Playing,Gust,0.2,70.0,8.2,Gust,T
PS2,2003.0,Action,SCi,0.2,57.0,8.0,Pivotal Games,T
PS3,2014.0,Action,Konami Digital Entertainment,0.2,63.0,7.8,Mercury Steam,M
XB,2002.0,Racing,Empire Interactive,0.19,59.0,4.3,Eutechnyx,T
PS3,2011.0,Action,Nippon Ichi Software,0.19,58.0,6.5,Acquire,M
GBA,2003.0,Platform,Vivendi Games,0.19,67.0,9.2,Saffire,E
PS2,2006.0,Fighting,Ignition Entertainment,0.19,75.0,8.5,SNK Playmore,T
PSP,2006.0,Shooter,Ubisoft,0.19,58.0,7.5,Ubisoft,M
DS,2009.0,Adventure,City Interactive,0.19,57.0,7.5,City Interactive,E
PS3,2012.0,Sports,Take-Two Interactive,0.19,68.0,4.4,Visual Concepts,E
PSP,2006.0,Action,Take-Two Interactive,0.19,51.0,6.3,High Voltage Software,M
PS2,2005.0,Shooter,Ubisoft,0.19,76.0,8.9,Rebellion,M
PSP,2005.0,Action,Electronic Arts,0.19,70.0,7.4,Electronic Arts,E10+
GBA,2001.0,Role-Playing,Ubisoft,0.19,81.0,8.8,Capcom,E
PS3,2011.0,Sports,THQ,0.19,65.0,2.4,THQ,E
GC,2006.0,Platform,Vivendi Games,0.19,67.0,7.5,Vivendi Games,E10+
X360,2007.0,Action,THQ,0.19,69.0,7.3,Nihilistic,M
GBA,2002.0,Action,TDK Core,0.19,64.0,7.5,RFX Interactive,E
PS3,2010.0,Action,Konami Digital Entertainment,0.19,72.0,7.3,FeelPlus,M
PC,2010.0,Shooter,Sega,0.19,68.0,7.4,Rebellion,M
PS3,2011.0,Action,Sega,0.19,61.0,7.3,Next Level Games,T
XB,2004.0,Action,Take-Two Interactive,0.19,74.0,7.9,Rockstar North,M
PS2,2002.0,Sports,Sony Computer Entertainment,0.19,57.0,6.0,989 Sports,E
X360,2008.0,Action,Namco Bandai Games,0.19,49.0,7.0,Omega Force,T
PS4,2014.0,Role-Playing,Focus Home Interactive,0.19,53.0,5.9,Spiders,M
Wii,2009.0,Role-Playing,Disney Interactive Studios,0.19,71.0,8.4,Genki,E10+
X360,2010.0,Misc,Konami Digital Entertainment,0.19,63.0,5.9,GCP1,E10+
PS2,2002.0,Role-Playing,Capcom,0.19,78.0,6.9,Capcom,T
Wii,2008.0,Role-Playing,Sega,0.19,71.0,7.6,ChunSoft,T
3DS,2016.0,Action,Warner Bros. Interactive Entertainment,0.19,60.0,7.1,TT Games,E10+
DS,2009.0,Simulation,Electronic Arts,0.19,49.0,2.6,Full Fat,E
GC,2002.0,Adventure,Nintendo,0.19,50.0,8.9,Capcom,E
X360,2006.0,Role-Playing,Ubisoft,0.19,69.0,6.9,From Software,T
X360,2008.0,Shooter,Eidos Interactive,0.19,52.0,4.9,Pivotal Games,M
PC,2016.0,Action,Take-Two Interactive,0.19,63.0,3.2,Hangar 13,M
PS2,2003.0,Shooter,Electronic Arts,0.19,62.0,8.3,Warthog,M
DS,2008.0,Puzzle,Nordcurrent,0.19,46.0,7.5,Nordcurrent,E
XB,2003.0,Action,Eidos Interactive,0.19,74.0,7.9,Crystal Dynamics,M
X360,2006.0,Role-Playing,Square Enix,0.19,66.0,6.5,Square Enix,T
PS2,2004.0,Misc,Atari,0.19,51.0,7.5,Artech Studios,T
PSP,2005.0,Action,Ubisoft,0.19,56.0,6.4,Phoenix Games Studio,T
XOne,2013.0,Fighting,Ubisoft,0.19,23.0,3.0,Ubisoft,T
PS2,2003.0,Strategy,Electronic Arts,0.19,66.0,8.4,Zono Inc.,T
PS3,2010.0,Platform,Activision,0.19,57.0,4.5,Xpec,E10+
PS2,2001.0,Shooter,Konami Digital Entertainment,0.19,64.0,7.5,KCET,M
Wii,2008.0,Action,Vivendi Games,0.19,62.0,7.5,Stormfront Studios,E10+
GBA,2001.0,Sports,Acclaim Entertainment,0.19,85.0,7.5,Full-Fat,E
PSP,2009.0,Action,Activision,0.19,60.0,7.5,Griptonite Games,T
PS2,2003.0,Sports,Midway Games,0.19,79.0,8.9,Next Level Games,E
DS,2009.0,Shooter,Square Enix,0.19,82.0,7.1,Taito Corporation,E
3DS,2011.0,Action,Electronic Arts,0.19,65.0,6.0,Firebrand Games,E10+
PC,2010.0,Strategy,Square Enix,0.19,77.0,6.2,Gas Powered Games,E10+
PS3,2010.0,Shooter,Tecmo Koei,0.19,43.0,5.3,Tecmo,M
Wii,2009.0,Simulation,Ubisoft,0.19,81.0,8.5,Keen Games,E10+
WiiU,2015.0,Misc,Activision,0.19,84.0,6.1,"Activision, FreeStyleGames",T
PS2,2008.0,Misc,Ignition Entertainment,0.19,69.0,7.5,SNK Playmore,T
PS2,2001.0,Misc,Sony Computer Entertainment,0.19,83.0,9.0,Harmonix Music Systems,E
PS4,2014.0,Action,Tecmo Koei,0.19,63.0,7.5,Omega Force,T
XB,2002.0,Sports,Electronic Arts,0.19,79.0,9.0,Software Creations,E
3DS,2011.0,Misc,THQ,0.19,64.0,6.0,WayForward,E
GBA,2002.0,Adventure,Konami Digital Entertainment,0.19,75.0,7.5,Konami,E
XB,2004.0,Role-Playing,Microsoft Game Studios,0.19,72.0,8.4,Climax Group,M
X360,2010.0,Adventure,Namco Bandai Games,0.19,74.0,8.1,Game Republic,T
X360,2012.0,Action,Konami Digital Entertainment,0.19,69.0,5.6,Konami,M
Wii,2009.0,Role-Playing,Marvelous Interactive,0.19,64.0,7.8,"Image Epoch, Imageepoch",T
PC,2014.0,Role-Playing,Ubisoft,0.19,85.0,8.6,Obsidian Entertainment,M
GC,2004.0,Action,Konami Digital Entertainment,0.19,49.0,4.6,Konami,T
PSV,2012.0,Sports,Sony Computer Entertainment,0.19,76.0,7.8,SCEA San Diego Studios,E
GBA,2002.0,Sports,Electronic Arts,0.19,66.0,7.5,Visual Impact,E
PC,2010.0,Action,Take-Two Interactive,0.19,82.0,8.6,Visual Concepts,E
